,voxel_x,voxel_y,voxel_z,currentStep,struggleValue,rowCount
6102,1.3,1.2,-3.0,0,20.8857455,15
1730,-0.6,1.2,-2.6,0,20.4700172,1
5230,1.2,1.1,-3.0,0,26.574265715384612,13
6470,1.4,1.0,-3.0,0,12.278,1
6080,1.3,1.2,-3.1,0,22.327195071428573,7
1732,-0.5,1.1,-2.9,0,20.4700172,1
1733,-0.5,1.1,-2.4,0,20.4700172,1
6012,1.3,1.1,-2.9,0,20.7825794,1
5988,1.3,1.1,-3.0,0,23.6367204125,16
1742,-0.4,1.1,-2.9,0,20.4700172,1
5967,1.3,1.1,-3.1,0,9.5810185,4
1743,-0.4,1.1,-2.8,0,20.4700172,1
1744,-0.4,1.1,-2.4,0,20.4700172,1
6487,1.4,1.0,-2.9,0,12.278,3
1771,-0.2,1.1,-4.1,0,41.4921165,1
182,-1.6,1.2,-4.3,0,3.4730048,2
5197,1.2,1.1,-3.2,0,21.67240204285714,14
1773,-0.2,1.1,-3.0,0,20.4700172,6
1135,-1.3,1.2,-4.3,0,2.2355074,4
1774,-0.2,1.1,-2.9,0,21.4769528,1
1147,-1.3,1.2,-4.2,0,3.3410101,1
5208,1.2,1.1,-3.1,0,21.0881205625,8
1080,-1.3,1.1,-4.3,0,2.2355074,1
1772,-0.2,1.1,-3.2,0,9.5810185,5
1121,-1.3,1.2,-4.4,0,2.78825875,2
2458,0.8,1.1,-2.3,1,33.9024795,1
6525,1.4,1.1,-3.1,1,13.6521379,3
5968,1.3,1.1,-3.1,1,95.24252168000001,5
2435,0.8,1.1,-3.0,1,79.38109820000001,2
5954,1.3,1.1,-3.2,1,142.487658,2
5952,1.3,1.1,-3.3,1,142.487658,1
1018,-1.3,1.0,-4.3,1,21.7635679,1
6013,1.3,1.1,-2.9,1,68.684675988,25
531,-1.4,0.9,-4.5,1,11.9872177,1
6033,1.3,1.1,-2.8,1,34.1649659,3
3453,1.0,1.1,-3.4,1,48.219894800000006,13
2433,0.8,1.1,-3.1,1,16.2745384,2
5009,1.2,0.9,-2.9,1,81.59232890000001,2
5147,1.2,1.0,-2.8,1,88.09317930000002,6
5072,1.2,1.0,-3.3,1,142.487658,1
3426,1.0,1.0,-2.6,1,33.6987006,1
5028,1.2,0.9,-2.8,1,142.487658,2
3415,1.0,1.0,-2.7,1,18.0365794,4
1122,-1.3,1.2,-4.4,1,21.7635679,1
2454,0.8,1.1,-2.4,1,70.0296127,3
3363,1.0,1.0,-3.3,1,48.2198948,2
1094,-1.3,1.1,-4.1,1,21.7635679,1
3367,1.0,1.0,-3.2,1,31.57521785,2
2449,0.8,1.1,-2.5,1,36.07551345,2
1734,-0.5,2.3,-3.2,1,142.487658,1
2444,0.8,1.1,-2.6,1,14.9305409,1
3360,1.0,1.0,-3.4,1,48.2198948,1
3374,1.0,1.0,-3.1,1,22.01704740555556,18
718,-1.4,1.2,-4.5,1,11.9872177,1
1104,-1.3,1.2,-4.6,1,19.319480350000003,4
5989,1.3,1.1,-3.0,1,41.35860455116279,43
3385,1.0,1.0,-3.0,1,142.487658,1
1037,-1.3,1.1,-4.7,1,13.2540569,2
2443,0.8,1.1,-2.7,1,22.4210209,2
2438,0.8,1.1,-2.9,1,142.487658,3
552,-1.4,0.9,-4.3,1,21.7635679,4
3396,1.0,1.0,-2.9,1,142.487658,2
4687,1.1,1.4,-2.6,1,142.487658,1
